max_depth	minbucket	min_split	cp	ganancia_promedio
6	325	800	-0.1	4829333
6	325	810	-0.03	4829333
6	325	810	-0.07	4829333
6	325	810	-0.1	4829333
6	325	820	-0.03	4902000
6	325	820	-0.07	4902000
6	325	820	-0.1	4902000
6	325	830	-0.03	4902000
6	325	830	-0.07	4902000
6	325	830	-0.1	4902000
6	325	840	-0.03	4790000
6	325	840	-0.07	4790000
6	325	840	-0.1	4790000
6	325	850	-0.03	4790000
6	325	850	-0.07	4790000
6	325	850	-0.1	4790000
6	325	860	-0.03	4790000
6	325	860	-0.07	4790000
6	325	860	-0.1	4790000
6	325	870	-0.03	4790000
6	325	870	-0.07	4790000
6	325	870	-0.1	4790000
6	330	800	-0.03	4814667
6	330	800	-0.07	4814667
6	330	800	-0.1	4814667
6	330	810	-0.03	4814667
6	330	810	-0.07	4814667
6	330	810	-0.1	4814667
6	330	820	-0.03	4887333
6	330	820	-0.07	4887333
6	330	820	-0.1	4887333
6	330	830	-0.03	4887333
6	330	830	-0.07	4887333
6	330	830	-0.1	4887333
6	330	840	-0.03	4775333
6	330	840	-0.07	4775333
6	330	840	-0.1	4775333
6	330	850	-0.03	4775333
6	330	850	-0.07	4775333
6	330	850	-0.1	4775333
6	330	860	-0.03	4775333
6	330	860	-0.07	4775333
6	330	860	-0.1	4775333
6	330	870	-0.03	4775333
6	330	870	-0.07	4775333
6	330	870	-0.1	4775333
6	335	800	-0.03	4842667
6	335	800	-0.07	4842667
6	335	800	-0.1	4842667
6	335	810	-0.03	4842667
6	335	810	-0.07	4842667
6	335	810	-0.1	4842667
6	335	820	-0.03	4915333
6	335	820	-0.07	4915333
6	335	820	-0.1	4915333
6	335	830	-0.03	4915333
6	335	830	-0.07	4915333
6	335	830	-0.1	4915333
6	335	840	-0.03	4803333
6	335	840	-0.07	4803333
6	335	840	-0.1	4803333
6	335	850	-0.03	4803333
6	335	850	-0.07	4803333
6	335	850	-0.1	4803333
6	335	860	-0.03	4803333
6	335	860	-0.07	4803333
6	335	860	-0.1	4803333
6	335	870	-0.03	4803333
6	335	870	-0.07	4803333
6	335	870	-0.1	4803333
6	340	800	-0.03	4858667
6	340	800	-0.07	4858667
6	340	800	-0.1	4858667
6	340	810	-0.03	4858667
6	340	810	-0.07	4858667
6	340	810	-0.1	4858667
6	340	820	-0.03	4931333
6	340	820	-0.07	4931333
6	340	820	-0.1	4931333
6	340	830	-0.03	4931333
6	340	830	-0.07	4931333
6	340	830	-0.1	4931333
6	340	840	-0.03	4819333
6	340	840	-0.07	4819333
6	340	840	-0.1	4819333
6	340	850	-0.03	4819333
6	340	850	-0.07	4819333
6	340	850	-0.1	4819333
6	340	860	-0.03	4819333
6	340	860	-0.07	4819333
6	340	860	-0.1	4819333
6	340	870	-0.03	4819333
6	340	870	-0.07	4819333
6	340	870	-0.1	4819333
6	345	800	-0.03	4912000
6	345	800	-0.07	4912000
6	345	800	-0.1	4912000
6	345	810	-0.03	4912000
6	345	810	-0.07	4912000
6	345	810	-0.1	4912000
6	345	820	-0.03	4984667
6	345	820	-0.07	4984667
6	345	820	-0.1	4984667
6	345	830	-0.03	4984667
6	345	830	-0.07	4984667
6	345	830	-0.1	4984667
6	345	840	-0.03	4874667
6	345	840	-0.07	4874667
6	345	840	-0.1	4874667
6	345	850	-0.03	4874667
6	345	850	-0.07	4874667
6	345	850	-0.1	4874667
6	345	860	-0.03	4874667
6	345	860	-0.07	4874667
6	345	860	-0.1	4874667
6	345	870	-0.03	4874667
6	345	870	-0.07	4874667
6	345	870	-0.1	4874667
6	350	800	-0.03	4750667
6	350	800	-0.07	4750667
6	350	800	-0.1	4750667
6	350	810	-0.03	4750667
6	350	810	-0.07	4750667
6	350	810	-0.1	4750667
6	350	820	-0.03	4823333
6	350	820	-0.07	4823333
6	350	820	-0.1	4823333
6	350	830	-0.03	4823333
6	350	830	-0.07	4823333
6	350	830	-0.1	4823333
6	350	840	-0.03	4823333
6	350	840	-0.07	4823333
6	350	840	-0.1	4823333
6	350	850	-0.03	4823333
6	350	850	-0.07	4823333
6	350	850	-0.1	4823333
6	350	860	-0.03	4823333
6	350	860	-0.07	4823333
6	350	860	-0.1	4823333
6	350	870	-0.03	4823333
6	350	870	-0.07	4823333
6	350	870	-0.1	4823333
7	320	800	-0.03	4504000
7	320	800	-0.07	4504000
7	320	800	-0.1	4504000
7	320	810	-0.03	4504000
7	320	810	-0.07	4504000
