fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220531 170420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	999983	0.0622590203678665	0.216731666539601	5651	463	0.0177822676658669	13461000	57
20220531 170445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	999983	0.0762828368845849	0.574950435620896	5495	17	0.0153026153056668	13490000	58
20220531 170627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	583	TRUE	999983	0.010023366303646	0.575485335956802	3134	25	0.0205487372933039	13402000	59
20220531 170817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	635	TRUE	999983	0.0100474329926058	0.536032253516762	5902	597	0.0165294070979533	13946000	60
20220531 170834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	999983	0.0929121012389721	0.464363679587315	5838	740	0.0168357779370652	13437000	61
20220531 170842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	999983	0.236283075957087	0.999025491115287	5855	439	0.0187135852046832	12760000	62
20220531 170850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	13	TRUE	999983	0.299847660245478	0.874279581921536	4900	1023	0.0156085527666186	12421000	63
20220531 170910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	999983	0.0678011054339616	0.493212136912551	3872	16	0.0187480834799802	13545000	64
20220531 170922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.19384393349705	0.550240517758601	5705	635	0.0177424696629793	12995000	65
20220531 170937	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	999983	0.118743868267793	0.512382879952945	7980	280	0.0169569539272259	13331000	66
20220531 171053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	565	TRUE	999983	0.0100441171039579	0.62421152076169	5965	495	0.0165330736562842	13717000	67
20220531 171222	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	666	TRUE	999983	0.0100024417810988	0.939973871629774	3218	1024	0.0194843623273627	13225000	68
20220531 171255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	999983	0.0261971428601596	0.884616061452958	2843	38	0.0170383364192593	13439000	69
20220531 171307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	999983	0.0860790990527508	0.959583707330494	7983	475	0.0224670390995458	12543000	70
20220531 171316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.293657104059693	0.994464719393612	3416	16	0.0212205297401821	11957000	71
20220531 171430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	999983	0.0104089451902259	0.79631010791474	3381	941	0.0166437594258472	13741000	72
20220531 171553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	361	TRUE	999983	0.0100511229903341	0.993327527144837	1933	1023	0.00954608440592404	12399000	73
20220531 171652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	407	TRUE	999983	0.0103421832226378	0.999945069981267	2104	22	0.0084012763246831	11419000	74
20220531 171809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	725	TRUE	999983	0.0181729344258344	0.253915411211043	7978	17	0.0257934949424046	12068000	75
20220531 172036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1188	TRUE	999983	0.0100677422812436	0.246616395339737	2520	1023	0.0170391476361213	13530000	76
20220531 172221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	613	TRUE	999983	0.0104329111002013	0.494364232772488	5636	591	0.0166152582989684	13992000	77
20220531 172407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	580	TRUE	999983	0.0101517768353329	0.513159959905781	5372	846	0.0164468927199924	13882000	78
20220531 172515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	450	TRUE	999983	0.0231559843474422	0.506320263173361	5727	158	0.0166216142400289	13466000	79
20220531 172541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	999983	0.0539391803785727	0.845475099681218	1717	1024	0.0164475625629902	13095000	80
20220531 172604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	999983	0.0706531895611829	0.483816837607184	7776	459	0.0159397402460916	13139000	81
20220531 172615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	999983	0.132128491519465	0.84755370314091	5922	19	0.0184272289991107	13086000	82
20220531 172626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.161982915176963	0.201015563612007	7984	414	0.020406154960967	13013000	83
20220531 172649	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	999983	0.0573239057820574	0.516343268670428	5454	487	0.0166418947839828	13517000	84
20220531 172709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	999983	0.0731681354976072	0.4336107489013	5592	682	0.0190372110431219	13301000	85
20220531 172725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	999983	0.0682869717645141	0.80825584800408	5817	128	0.0172012893569991	13126000	86
20220531 172744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	999983	0.0722370246725445	0.425635241629987	5269	300	0.0165883212295664	13181000	87
20220531 172800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	999983	0.0992867084001089	0.607789985863042	6239	503	0.0174388344594639	12787000	88
20220531 172813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	999983	0.143047591923328	0.550042288260347	7893	16	0.0170926863158407	13361000	89
20220531 172829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	94	TRUE	999983	0.123520807671676	0.202569466329116	6785	970	0.0169116387316258	13508000	90
20220531 172851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	999983	0.0697603788894513	0.529912201060484	5779	957	0.0165373718061709	13799000	91
20220531 172859	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	999983	0.166354263398465	0.999034051093977	7985	25	0.0178947871730643	12728000	92
20220531 172926	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	999983	0.048819891411016	0.200222991183891	1875	911	0.0210445764881206	13169000	93
20220531 172937	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	999983	0.180926046147362	0.333039701704721	8000	906	0.0169044674026737	13122000	94
20220531 172958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	999983	0.0453037580280803	0.992287600638636	3147	19	0.0206752325701685	12819000	95
20220531 173010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	42	TRUE	999983	0.12625824500348	0.22410996368695	7152	24	0.0170927875196303	13242000	96
20220531 173024	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	999983	0.130474044260931	0.98180135647977	7986	1024	0.0173520290233385	12799000	97
20220531 173034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	999983	0.240912136276142	0.458659817691488	5259	16	0.0170425485267636	12867000	98
20220531 173043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	999983	0.235892608052255	0.747981722778764	8000	1010	0.0148710814321042	12923000	99
20220531 173054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	999983	0.225991730671924	0.318386252411613	7988	327	0.0221657577877759	12480000	100
20220531 173105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	999983	0.268133749904542	0.46129286179019	3694	1024	0.0139905196164841	12197000	101
20220531 173125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	999983	0.0877923261356886	0.20010250017244	5878	1004	0.0167918981385707	13197000	102
20220531 173140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.129042348160065	0.495359392708924	6583	1018	0.0169555799482539	13550000	103
20220531 173153	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	999983	0.158259032024604	0.200432577415484	5960	1012	0.0169372931941412	13246000	104
20220531 173215	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	999983	0.0504721629824042	0.505174162769873	5775	17	0.0206630827607058	13336000	105
20220531 173228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	999983	0.131225503978335	0.259086833328555	5908	676	0.0183723738263911	13595000	106
20220531 173236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	999983	0.234560732726828	0.99910996134129	4346	1024	0.0112845255230213	12236000	107
20220531 173244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	999983	0.270004152231919	0.732765981862345	7962	1019	0.0208268905434711	12695000	108
20220531 173255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.299635427044521	0.505120248365143	7981	492	0.017459489554086	12604000	109
20220531 173409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	689	TRUE	999983	0.0100519976051874	0.846388264980424	6353	1018	0.0158900879529825	13243000	110
20220531 173419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	45	TRUE	999983	0.21642796279621	0.793843613651327	6021	28	0.0167508217629305	12574000	111
20220531 173439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	999983	0.0676568219922268	0.524196827658452	5893	18	0.016684942665527	13674000	112
20220531 173458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	999983	0.0692934741804366	0.550436907401002	5742	674	0.014822726583275	13572000	113
20220531 173521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	999983	0.0700488185942767	0.524988006292789	3243	786	0.017261157812122	13718000	114
20220531 173540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	999983	0.136130530779089	0.324315689868562	7999	733	0.0167244475797149	13125000	115
20220531 173556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	999983	0.117135406365505	0.200563758431347	4252	479	0.0180985541537198	13194000	116
20220531 173608	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.217940526369346	0.46887815409918	7486	1024	0.0183934915761878	13071000	117
20220531 173618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	999983	0.186051186267901	0.999650222716924	3714	103	0.0214938295907001	12537000	118
20220531 173745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	999983	0.0100207462110123	0.879297940549808	42	182	0.016727243494215	8629000	119
20220531 173931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	623	TRUE	999983	0.0101545919362923	0.334412731640447	2933	642	0.0172222637758854	13663000	120
