fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	is_unbalance	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220601 164255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	86	TRUE	TRUE	0.205079980427804	0.701583462563406	215	962	0.0139772453976386	15.0546216511651	52.5130802554398	0.150791304115849	5681000	60
20220601 164327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	443	TRUE	TRUE	0.194230166406909	0.770869968871105	7777	542	0.0492014854188852	2.02091085830501	21.8975748424825	0.462144513211153	7046000	61
20220601 164421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	858	TRUE	TRUE	0.178495128390228	0.997435827441419	6739	589	0.0135867247511094	65.9937090155753	39.4784805490679	0.629975967339983	7263000	62
20220601 164438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	89	TRUE	TRUE	0.241935383788149	0.652774243966303	323	137	0.0157816014406776	34.950436020702	11.8668795835877	1.01740774758598	6434000	63
20220601 164455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	357	TRUE	TRUE	0.258347938800722	0.999767769086633	11	636	0.025616628939908	2.70524036240398	64.1834326624314	26.4862224317602	5943000	64
20220601 164512	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	129	TRUE	TRUE	0.171963266438666	0.801429250133468	1884	289	0.0236615784155558	73.3236983215558	15.1954891636747	0.799040075858571	5684000	65
20220601 164521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	54	TRUE	TRUE	0.270367565394191	0.962662306892675	164	645	0.0498051580209625	0.119958772652801	7.23790268751996	293.619847991672	5012000	66
20220601 164543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	193	TRUE	TRUE	0.289599842040988	0.987737557509441	2079	75	0.0449952339854597	0.530429556876315	36.4333105235042	0.929886047396268	7370000	67
20220601 164557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	185	TRUE	TRUE	0.299521137095636	0.852452910306586	966	20	0.0466613939438548	31.0290438584502	14.709350602211	152.595009139882	5153000	68
20220601 164621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	139	TRUE	TRUE	0.263084348867677	0.687291703225731	1736	195	0.049938639373986	3.13629927210676	54.5129274475014	0.868353486207111	8077000	69
20220601 164643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	224	TRUE	TRUE	0.259284884192788	0.781218084839573	1886	234	0.0420684198628278	0.060166000733715	31.7238879471281	15.0196903734313	7433000	70
20220601 164717	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	460	TRUE	TRUE	0.295215429201652	0.997924383108052	5232	292	0.0480527749407647	0.312298935583597	61.0974512127728	3.62856636399709	7783000	71
20220601 164730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	44	TRUE	TRUE	0.299935995164925	0.937509495917974	271	321	0.0499647589317801	14.7985129173795	55.5858362860836	1.18807879931197	5672000	72
20220601 164826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	527	TRUE	TRUE	0.213080675341563	0.504019491539632	6036	644	0.0464702450124905	1.73375043766941	57.7213414561729	0.498031000717574	8188000	73
20220601 164910	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	705	TRUE	TRUE	0.24958685378795	0.936527291894806	7848	398	0.0477795455351573	9.79348437043576	45.4420682599251	3.46322144097333	7692000	74
20220601 164948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	562	TRUE	TRUE	0.277045645798342	0.901343264833234	5722	104	0.0114774460975801	39.1292590891666	50.1026866908116	0.0191306487387131	8215000	75
20220601 165009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	225	TRUE	TRUE	0.268136250783463	0.99813391935702	4949	205	0.0256332587878426	6.31763908061804	52.0654018143265	0.412673128110009	7116000	76
20220601 165102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	689	TRUE	TRUE	0.272661507608646	0.606842168961082	7709	553	0.00833383616552942	0.542481411954854	69.9414077019589	0.92336241387302	8403000	77
20220601 165158	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	718	TRUE	TRUE	0.299826377938609	0.619486311036983	7931	118	0.0122355735153597	14.1288801255598	63.4670336614319	0.899139571845482	8774000	78
20220601 165233	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	539	TRUE	TRUE	0.299878528587498	0.760815563235244	7072	405	0.00929544731686811	14.0174369559403	55.2530049546495	2.26895022589846	7247000	79
20220601 165309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	316	TRUE	TRUE	0.28763621513144	0.528791736190478	7612	511	0.0498409911039545	0.810252761278735	90.3517478388163	0.228070092799019	7489000	80
20220601 165332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	275	TRUE	TRUE	0.293899735086738	0.688543828120868	5118	20	0.0485099310615915	0.331224747787056	69.8404983262374	0.467936229753425	6852000	81
20220601 165420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	775	TRUE	TRUE	0.264174554623454	0.6419124694948	7978	204	0.00840988358665498	46.7331598680027	58.8707529419795	0.488543074640249	7321000	82
20220601 165500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	668	TRUE	TRUE	0.292988696981693	0.835266272937086	7468	142	0.00853412105863157	0.473984981857966	98.5537848171587	24.6610041516278	8148000	83
20220601 165550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	844	TRUE	TRUE	0.212954631816851	0.828260035165561	7789	603	0.0120844604711228	86.4414215256521	16.5425312284696	3.70263516511657	7747000	84
20220601 165635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	729	TRUE	TRUE	0.21565088607116	0.994847644208855	7290	628	0.00883268081425992	56.9876990792881	48.7497786434152	2.02868986816263	7134000	85
20220601 165705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	469	TRUE	TRUE	0.289612866958922	0.974609128800835	7996	58	0.0103357847459226	52.409182115108	21.6913435431789	27.9016609864536	5876000	86
20220601 165730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	237	TRUE	TRUE	0.298107281857962	0.552869885390291	7685	23	0.00965029602840542	26.8381309871557	57.8500572472039	334.04873545883	-5135000	87
20220601 165759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	206	TRUE	TRUE	0.275227941130979	0.420140093307934	2061	767	0.0150541357690146	4.96189582691142	97.7448483290169	0.735677592992854	9805000	88
20220601 165851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	652	TRUE	TRUE	0.295121732611194	0.227548254173111	7041	924	0.0183206447766887	8.98313363785147	99.0846555583443	0.894089875579784	8317000	89
20220601 165922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	246	TRUE	TRUE	0.295631127155916	0.464305635237723	2702	635	0.0114230093155503	29.2750832456365	89.8314387780422	0.379870849636253	6735000	90
20220601 165958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	340	TRUE	TRUE	0.249991247262336	0.278572775442108	2049	767	0.0136729026246072	3.70987496182682	99.3099581125301	0.396916323719363	9052000	91
20220601 170011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	63	TRUE	TRUE	0.255876601196029	0.544271292818663	25	814	0.0479905101251204	99.797795710193	5.45192422125814	890.428642196225	5009000	92
20220601 170033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	158	TRUE	TRUE	0.255605198632145	0.603970872464977	1761	865	0.0400246232222134	0.0200939050530479	98.7160977921288	3.00068901451909	8866000	93
20220601 170058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	245	TRUE	TRUE	0.276301397617846	0.317702757845172	718	1024	0.0159625076436615	0.350620387998547	99.3555729438468	55.4088631457183	5470000	94
20220601 170115	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	123	TRUE	TRUE	0.29963422525422	0.427159000700525	1419	926	0.0490922719092902	3.74607063579223	14.7557800091564	880.590127875075	4435000	95
20220601 170130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	60	TRUE	TRUE	0.215485908898815	0.980554146513067	1084	646	0.0144764853268568	99.982194161968	7.51289795343363	471.985829818358	1819000	96
20220601 170139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	59	TRUE	TRUE	0.255659951335098	0.663454188616299	278	992	0.0490788840108373	39.9315667054268	15.1740240909529	643.671448654452	3062000	97
20220601 170157	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	193	TRUE	TRUE	0.299850722705534	0.605641789009285	6120	453	0.0498964788204091	98.126149887203	3.83983064023473	992.195876709117	2212000	98
20220601 170209	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	80	TRUE	TRUE	0.279690216519446	0.202685170595951	12	492	0.0158207382981972	93.1069393813437	20.6643533966243	997.09562915427	-557000	99
20220601 170228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	76	TRUE	TRUE	0.206086437373453	0.386958276110788	280	673	0.0494090117969911	10.8840133645668	47.7721550528593	0.156597398367476	5675000	100
20220601 170300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	352	TRUE	TRUE	0.251377798590656	0.795535838976246	2424	754	0.0116856557577526	0.657758341877575	98.0151204355333	0.420139693483325	9668000	101
20220601 170322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	192	TRUE	TRUE	0.214999367142443	0.770751055214321	1990	695	0.0300901909736096	0.295163963109604	78.9791088969931	0.33166135666355	8974000	102
20220601 170406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	694	TRUE	TRUE	0.148026848469297	0.866512733336365	6953	202	0.0448282549262301	99.738343793671	12.8163192986221	0.426490712389193	5757000	103
20220601 170450	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	473	TRUE	TRUE	0.224007813199445	0.371370055671378	6980	84	0.0196030466726723	75.8397635420523	25.1409900237408	2.04050962474213	6559000	104
20220601 170543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	556	TRUE	TRUE	0.260460463463984	0.370602907122769	6293	787	0.0213491639352233	7.79497882603758	87.7290731550916	0.188121185710584	8261000	105
